fid,survey_id,title,survey_date,region,type,lat,lon
52,AL-PA-2202-11,FieldSurvey_20220214-21_PA,2022/2/16,S03W052,🚙,-51.57261212,-3.1071064
53,AL-PA-2202-02,FieldSurvey_20220214-21_PA,2022/2/16,S03W052,🚙,-51.59660706,-3.119618274
54,AL-PA-2202-03,FieldSurvey_20220214-21_PA,2022/2/16,S03W052,🚙,-51.75402197,-3.004204682
55,AL-PA-2202-07,FieldSurvey_20220214-21_PA,2022/2/17,S02W052,🚙,-51.78775895,-2.586276869
56,AL-PA-2202-08,FieldSurvey_20220214-21_PA,2022/2/17,S02W053,🚙,-52.90447763,-2.957778418
57,AL-PA-2202-10,FieldSurvey_20220214-21_PA,2022/2/18,S02W053,🚙,-52.90233948,-2.948172112
58,AL-PA-2202-09,FieldSurvey_20220214-21_PA,2022/2/16,S03W053,🚙,-52.64306333,-3.25879365
59,AL-PA-2202-12,FieldSurvey_20220214-21_PA,2022/2/17,S03W052,🚙,-51.72142588,-3.033010577
60,AL-PA-2202-13,FieldSurvey_20220214-21_PA,2022/2/16,S02W052,🚙,-51.74382809,-2.988405391
61,AL-PA-2202-14,FieldSurvey_20220214-21_PA,2022/2/16,S02W052,🚙,-51.74066999,-2.996929676
62,AL-PA-2202-15,FieldSurvey_20220214-21_PA,2022/2/17,S02W052,🚙,-51.675774,-2.887741989
63,AL-PA-2202-16,FieldSurvey_20220214-21_PA,2022/2/15,S02W052,🚙,-51.73971478,-2.729618693
64,AL-PA-2202-17,FieldSurvey_20220214-21_PA,2022/2/15,S02W052,🚙,-51.79975815,-2.710793302
65,AL-PA-2202-18,FieldSurvey_20220214-21_PA,2022/2/15,S02W052,🚙,-51.87340358,-2.654644979
66,AL-PA-2310-03,FIeldSurvey_20231008-14_PA,2023/10/10,S02W052,🚙,-51.72031668,-2.78231541
67,AL-PA-2310-05,FIeldSurvey_20231008-14_PA,2023/10/10,S02W052,🚙,-51.71515102,-2.783258705
68,AL-PA-2310-06,FIeldSurvey_20231008-14_PA,2023/10/10,S02W052,🚙,-51.7099349,-2.790318153
69,AL-PA-2310-07,FIeldSurvey_20231008-14_PA,2023/10/10,S02W052,🚙,-51.69454669,-2.786745838
70,AL-PA-2310-10,FIeldSurvey_20231008-14_PA,2023/10/10,S02W052,🚙,-51.70317833,-2.795328801
71,AL-PA-2310-11,FIeldSurvey_20231008-14_PA,2023/10/10,S02W052,🚙,-51.70406916,-2.789353105
72,AL-PA-2310-13,FIeldSurvey_20231008-14_PA,2023/10/13,S02W052,🚙,-51.81714311,-2.795796712
73,AL-PA-2310-18,FIeldSurvey_20231008-14_PA,2023/10/10,S02W052,🚙,-51.91393256,-2.605450859
74,AL-PA-2310-19,FIeldSurvey_20231008-14_PA,2023/10/10,S02W052,🚙,-51.8492525,-2.580629686
75,AL-PA-2310-23,FIeldSurvey_20231008-14_PA,2023/10/10,S02W052,🚙,-51.87415123,-2.580201084
76,AL-PA-2310-24,FIeldSurvey_20231008-14_PA,2023/10/10,S02W052,🚙,-51.85963546,-2.578298213
77,AL-PA-2310-30,FIeldSurvey_20231008-14_PA,2023/10/13,S02W052,🚙,-51.66353433,-2.923636898
78,AL-PA-2310-35,FIeldSurvey_20231008-14_PA,2023/10/12,S02W052,🚙,-51.76842675,-2.734123018
79,AL-PA-2310-40,FIeldSurvey_20231008-14_PA,2023/10/10,S02W052,🚙,-51.86851093,-2.695186343
80,AL-PA-2310-42,FIeldSurvey_20231008-14_PA,2023/10/10,S02W052,🚙,-51.85860192,-2.700118934
81,AL-PA-2310-49,FIeldSurvey_20231008-14_PA,2023/10/10,S02W052,🚙,-51.73827988,-2.798110037
82,AL-PA-2310-50,FIeldSurvey_20231008-14_PA,2023/10/10,S02W052,🚙,-51.85650604,-2.572422947
83,AL-PA-2402-01,FieldSurvey_20240205-06_PA,2024/2/5,S02W052,🚁,-51.70616684,-2.64152127
84,AL-PA-2402-02,FieldSurvey_20240205-06_PA,2024/2/5,S02W052,🚁,-51.84777464,-2.539837784
85,AL-PA-2402-03,FieldSurvey_20240205-06_PA,2024/2/5,S02W052,🚁,-51.87415041,-2.580241004
86,AL-PA-2402-04Ref,FieldSurvey_20240205-06_PA,2024/2/5,S02W052,🚁,-51.90324583,-2.640583532
87,AL-PA-2402-05Ref,FieldSurvey_20240205-06_PA,2024/2/5,S02W052,🚁,-51.91029431,-2.637700544
88,AL-PA-2402-06Ref,FieldSurvey_20240205-06_PA,2024/2/5,S02W052,🚁,-51.91508882,-2.648487706
89,AL-PA-2402-07Ref,FieldSurvey_20240205-06_PA,2024/2/5,S02W052,🚁,-51.92077612,-2.654063555
90,AL-PA-2402-08Ref,FieldSurvey_20240205-06_PA,2024/2/5,S02W052,🚁,-51.90641282,-2.669076327
91,AL-PA-2402-09,FieldSurvey_20240205-06_PA,2024/2/5,S02W052,🚁,-51.90331075,-2.746190747
92,AL-PA-2402-10Ref,FieldSurvey_20240205-06_PA,2024/2/5,S02W052,🚁,-51.86946863,-2.789308233
93,AL-PA-2402-11a,FieldSurvey_20240205-06_PA,2024/2/5,S02W052,🚁,-51.78195486,-2.857899757
94,AL-PA-2402-11b,FieldSurvey_20240205-06_PA,2024/2/5,S02W052,🚁,-51.77968673,-2.857082071
95,AL-PA-2402-12,FieldSurvey_20240205-06_PA,2024/2/5,S02W052,🚁,-51.80681619,-2.804734002
96,AL-PA-2402-13Ref,FieldSurvey_20240205-06_PA,2024/2/5,S02W052,🚁,-51.81437269,-2.734828354
97,AL-PA-2402-14,FieldSurvey_20240205-06_PA,2024/2/5,S02W052,🚁,-51.83787866,-2.710242488
98,AL-PA-2402-15Ref,FieldSurvey_20240205-06_PA,2024/2/5,S02W052,🚁,-51.8639002,-2.689688691
